name,city,state,domain,accept_rate_pct,avg_sat,avg_gpa,avg_act,ED_date,ED2_date,EA_date,REA_date,RD_date,coa_sticker,net_under_30k,net_30_48k,net_48_75k,net_75_110k,net_110_150k,net_150_200k,net_200k_plus,pell_pct,median_debt
Rensselaer Polytechnic Institute,Troy,NY,rpi.edu,,,,,,,,,,,,,,,,,,,
Lehigh University,Bethlehem,PA,lehigh.edu,,,,,,,,,,,,,,,,,,,
University of Georgia,Athens,GA,uga.edu,,,,,,,,,,,,,,,,,,,
"University of Maryland, College Park",College Park,MD,umd.edu,,,,,,,,,,,,,,,,,,,
University of Minnesota,Minneapolis,MN,umn.edu,,,,,,,,,,,,,,,,,,,
Michigan State University,East Lansing,MI,msu.edu,,,,,,,,,,,,,,,,,,,
University of Pittsburgh,Pittsburgh,PA,pitt.edu,,,,,,,,,,,,,,,,,,,
Villanova University,Villanova,PA,villanova.edu,,,,,,,,,,,,,,,,,,,
Southern Methodist University,Dallas,TX,smu.edu,,,,,,,,,,,,,,,,,,,
Syracuse University,Syracuse,NY,syr.edu,,,,,,,,,,,,,,,,,,,
Pepperdine University,Malibu,CA,pepperdine.edu,,,,,,,,,,,,,,,,,,,
Fordham University,Bronx,NY,fordham.edu,,,,,,,,,,,,,,,,,,,
George Washington University,Washington,DC,gwu.edu,,,,,,,,,,,,,,,,,,,
American University,Washington,DC,american.edu,,,,,,,,,,,,,,,,,,,
Baylor University,Waco,TX,baylor.edu,,,,,,,,,,,,,,,,,,,
Texas A&M University - College Station,College Station,TX,tamu.edu,,,,,,,,,,,,,,,,,,,
Indiana University Bloomington,Bloomington,IN,indiana.edu,,,,,,,,,,,,,,,,,,,
University of Connecticut,Storrs,CT,uconn.edu,,,,,,,,,,,,,,,,,,,
University of Massachusetts at Amherst,Amherst,MA,umass.edu,,,,,,,,,,,,,,,,,,,
Clemson University,Clemson,SC,clemson.edu,,,,,,,,,,,,,,,,,,,
Rutgers University,New Brunswick,NJ,rutgers.edu,,,,,,,,,,,,,,,,,,,
Virginia Tech,Blacksburg,VA,vt.edu,,,,,,,,,,,,,,,,,,,
University of Delaware,Newark,DE,udel.edu,,,,,,,,,,,,,,,,,,,
Marquette University,Milwaukee,WI,marquette.edu,,,,,,,,,,,,,,,,,,,
University of Denver,Denver,CO,du.edu,,,,,,,,,,,,,,,,,,,
Stevens Institute of Technology,Hoboken,NJ,stevens.edu,,,,,,,,,,,,,,,,,,,
Worcester Polytechnic Institute,Worcester,MA,wpi.edu,,,,,,,,,,,,,,,,,,,
University of San Diego,San Diego,CA,sandiego.edu,,,,,,,,,,,,,,,,,,,
Loyola Marymount University,Los Angeles,CA,lmu.edu,,,,,,,,,,,,,,,,,,,
Santa Clara University,Santa Clara,CA,scu.edu,,,,,,,,,,,,,,,,,,,
"University of California, Santa Cruz",Santa Cruz,CA,ucsc.edu,,,,,,,,,,,,,,,,,,,
"University of California, Riverside",Riverside,CA,ucr.edu,,,,,,,,,,,,,,,,,,,
Arizona State University,Tempe,AZ,asu.edu,,,,,,,,,,,,,,,,,,,
University of Arizona,Tucson,AZ,arizona.edu,,,,,,,,,,,,,,,,,,,
University of Colorado at Boulder,Boulder,CO,colorado.edu,,,,,,,,,,,,,,,,,,,
University of Oregon,Eugene,OR,uoregon.edu,,,,,,,,,,,,,,,,,,,
University of Iowa,Iowa City,IA,uiowa.edu,,,,,,,,,,,,,,,,,,,
University of Kansas,Lawrence,KS,ku.edu,,,,,,,,,,,,,,,,,,,
University of Nebraska-Lincoln,Lincoln,NE,unl.edu,,,,,,,,,,,,,,,,,,,
"University of Tennessee, Knoxville",Knoxville,TN,utk.edu,,,,,,,,,,,,,,,,,,,
University of Kentucky,Lexington,KY,uky.edu,,,,,,,,,,,,,,,,,,,
The University of Alabama,Tuscaloosa,AL,ua.edu,,,,,,,,,,,,,,,,,,,
Auburn University,Auburn,AL,auburn.edu,,,,,,,,,,,,,,,,,,,
Florida State University,Tallahassee,FL,fsu.edu,,,,,,,,,,,,,,,,,,,
University of South Carolina,Columbia,SC,sc.edu,,,,,,,,,,,,,,,,,,,
North Carolina State University,Raleigh,NC,ncsu.edu,,,,,,,,,,,,,,,,,,,
University of Utah,Salt Lake City,UT,utah.edu,,,,,,,,,,,,,,,,,,,
Brigham Young University,Provo,UT,byu.edu,,,,,,,,,,,,,,,,,,,
Iowa State University,Ames,IA,iastate.edu,,,,,,,,,,,,,,,,,,,
University of Missouri,Columbia,MO,missouri.edu,,,,,,,,,,,,,,,,,,,
Louisiana State University,Baton Rouge,LA,lsu.edu,,,,,,,,,,,,,,,,,,,
University of Oklahoma,Norman,OK,ou.edu,,,,,,,,,,,,,,,,,,,
Texas Christian University,Fort Worth,TX,tcu.edu,,,,,,,,,,,,,,,,,,,
Drexel University,Philadelphia,PA,drexel.edu,,,,,,,,,,,,,,,,,,,
Temple University,Philadelphia,PA,temple.edu,,,,,,,,,,,,,,,,,,,
Miami University of Ohio,Oxford,OH,miamioh.edu,,,,,,,,,,,,,,,,,,,
University of Vermont,Burlington,VT,uvm.edu,,,,,,,,,,,,,,,,,,,
University of New Hampshire,Durham,NH,unh.edu,,,,,,,,,,,,,,,,,,,
State University of New York at Binghamton,Binghamton,NY,binghamton.edu,,,,,,,,,,,,,,,,,,,
State University of New York at Stony Brook,Stony Brook,NY,stonybrook.edu,,,,,,,,,,,,,,,,,,,
State University of New York at Buffalo,Buffalo,NY,buffalo.edu,,,,,,,,,,,,,,,,,,,
Howard University,Washington,DC,howard.edu,,,,,,,,,,,,,,,,,,,
Spelman College,Atlanta,GA,auc.edu,,,,,,,,,,,,,,,,,,,
Morehouse,Atlanta,GA,morehouse.edu,,,,,,,,,,,,,,,,,,,
Swarthmore College,Swarthmore,PA,swarthmore.edu,,,,,,,,,,,,,,,,,,,
Pomona College,Claremont,CA,pomona.edu,,,,,,,,,,,,,,,,,,,
Wellesley College,Wellesley,MA,wellesley.edu,,,,,,,,,,,,,,,,,,,
Carleton College,Northfield,MN,carleton.edu,,,,,,,,,,,,,,,,,,,
Claremont McKenna College,Claremont,CA,claremontmckenna.edu,,,,,,,,,,,,,,,,,,,
Davidson College,Davidson,NC,davidson.edu,,,,,,,,,,,,,,,,,,,
Colby College,Waterville,ME,colby.edu,,,,,,,,,,,,,,,,,,,
Bates College,Lewiston,ME,bates.edu,,,,,,,,,,,,,,,,,,,
Hamilton College,Clinton,NY,hamilton.edu,,,,,,,,,,,,,,,,,,,
Haverford College in Pennsylvania,Haverford,PA,haverford.edu,,,,,,,,,,,,,,,,,,,
Vassar College,Poughkeepsie,NY,vassar.edu,,,,,,,,,,,,,,,,,,,
Colgate University,Hamilton,NY,colgate.edu,,,,,,,,,,,,,,,,,,,
Wesleyan University,Middletown,CT,wesleyan.edu,,,,,,,,,,,,,,,,,,,
Smith College,Northampton,MA,smith.edu,,,,,,,,,,,,,,,,,,,
Barnard College,New York,NY,barnard.edu,,,,,,,,,,,,,,,,,,,
Washington and Lee University,Lexington,VA,wlu.edu,,,,,,,,,,,,,,,,,,,
Bucknell University,Lewisburg,PA,bucknell.edu,,,,,,,,,,,,,,,,,,,
Kenyon College,Gambier,OH,kenyon.edu,,,,,,,,,,,,,,,,,,,
Oberlin College,Oberlin,OH,oberlin.edu,,,,,,,,,,,,,,,,,,,
Macalester College,Saint Paul,MN,macalester.edu,,,,,,,,,,,,,,,,,,,
Occidental College,Los Angeles,CA,oxy.edu,,,,,,,,,,,,,,,,,,,
Reed College,Portland,OR,reed.edu,,,,,,,,,,,,,,,,,,,
Harvey Mudd College,Claremont,CA,hmc.edu,,,,,,,,,,,,,,,,,,,
Scripps College,Claremont,CA,scrippscollege.edu,,,,,,,,,,,,,,,,,,,
Pitzer College,Claremont,CA,pitzer.edu,,,,,,,,,,,,,,,,,,,
Colorado College,Colorado Springs,CO,coloradocollege.edu,,,,,,,,,,,,,,,,,,,
Trinity College (CT),Hartford,CT,trincoll.edu,,,,,,,,,,,,,,,,,,,
Bryn Mawr College,Bryn Mawr,PA,brynmawr.edu,,,,,,,,,,,,,,,,,,,
Mount Holyoke College,South Hadley,MA,mtholyoke.edu,,,,,,,,,,,,,,,,,,,
Franklin & Marshall College,Lancaster,PA,fandm.edu,,,,,,,,,,,,,,,,,,,
