Name,SAT,GPA,AdmitRate,CurrentSource
"College of William and Mary",,,,ESTIMATE
"Brandeis University",,,,ESTIMATE
"University of Miami",,,,ESTIMATE
"Rensselaer Polytechnic Institute",,,,ESTIMATE
"Lehigh University",,,,ESTIMATE
"University of Georgia",,,,ESTIMATE
"University of Maryland, College Park",,,,ESTIMATE
"University of Minnesota",,,,ESTIMATE
"Michigan State University",,,,ESTIMATE
"University of Pittsburgh",,,,ESTIMATE
"Villanova University",,,,ESTIMATE
"Southern Methodist University",,,,ESTIMATE
"Syracuse University",,,,ESTIMATE
"Pepperdine University",,,,ESTIMATE
"Fordham University",,,,ESTIMATE
"George Washington University",,,,ESTIMATE
"American University",,,,ESTIMATE
"Baylor University",,,,ESTIMATE
"Texas A&M University - College Station",,,,ESTIMATE
"Indiana University - Bloomington",,,,ESTIMATE
"University of Connecticut",,,,ESTIMATE
"University of Massachusetts at Amherst",,,,ESTIMATE
"Clemson University",,,,ESTIMATE
"Rutgers University",,,,ESTIMATE
"Virginia Tech",,,,ESTIMATE
"University of Delaware",,,,ESTIMATE
"Marquette University",,,,ESTIMATE
"University of Denver",,,,ESTIMATE
"Stevens Institute of Technology",,,,ESTIMATE
"Worcester Polytechnic Institute",,,,ESTIMATE
"University of San Diego",,,,ESTIMATE
"Loyola Marymount University",,,,ESTIMATE
"Santa Clara University",,,,ESTIMATE
"University of California, Santa Cruz",,,,ESTIMATE
"University of California, Riverside",,,,ESTIMATE
"Arizona State University",,,,ESTIMATE
"University of Arizona",,,,ESTIMATE
"University of Colorado at Boulder",,,,ESTIMATE
"University of Oregon",,,,ESTIMATE
"University of Iowa",,,,ESTIMATE
"University of Kansas",,,,ESTIMATE
"University of Nebraska, Lincoln",,,,ESTIMATE
"University of Tennessee, Knoxville",,,,ESTIMATE
"University of Kentucky",,,,ESTIMATE
"The University of Alabama",,,,ESTIMATE
"Auburn University",,,,ESTIMATE
"Florida State University",,,,ESTIMATE
"University of South Carolina",,,,ESTIMATE
"North Carolina State University",,,,ESTIMATE
"University of Utah",,,,ESTIMATE
"Brigham Young University",,,,ESTIMATE
"Iowa State University",,,,ESTIMATE
"University of Missouri",,,,ESTIMATE
"Louisiana State University",,,,ESTIMATE
"University of Oklahoma",,,,ESTIMATE
"Texas Christian University",,,,ESTIMATE
"Drexel University",,,,ESTIMATE
"Temple University",,,,ESTIMATE
"Miami University of Ohio",,,,ESTIMATE
"University of Vermont",,,,ESTIMATE
"University of New Hampshire",,,,ESTIMATE
"State University of New York at Binghamton",,,,ESTIMATE
"State University of New York at Stony Brook",,,,ESTIMATE
"State University of New York at Buffalo",,,,ESTIMATE
"Howard University",,,,ESTIMATE
"Spelman College",,,,ESTIMATE
"Morehouse",,,,ESTIMATE
"Swarthmore College",,,,ESTIMATE
"Pomona College",,,,ESTIMATE
"Wellesley College",,,,ESTIMATE
"Carleton College",,,,ESTIMATE
"Claremont McKenna College",,,,ESTIMATE
"Davidson College",,,,ESTIMATE
"Colby College",,,,ESTIMATE
"Bates College",,,,ESTIMATE
"Hamilton College",,,,ESTIMATE
"Haverford College in Pennsylvania",,,,ESTIMATE
"Vassar College",,,,ESTIMATE
"Colgate University",,,,ESTIMATE
"Wesleyan University",,,,ESTIMATE
"Smith College",,,,ESTIMATE
"Barnard College",,,,ESTIMATE
"Washington & Lee University",,,,ESTIMATE
"Bucknell University",,,,ESTIMATE
"Kenyon College",,,,ESTIMATE
"Oberlin College",,,,ESTIMATE
"Macalester College",,,,ESTIMATE
"Occidental College",,,,ESTIMATE
"Reed College",,,,ESTIMATE
"Harvey Mudd College",,,,ESTIMATE
"Pitzer College",,,,ESTIMATE
"Colorado College",,,,ESTIMATE
"Trinity College (CT)",,,,ESTIMATE
"Bryn Mawr College",,,,ESTIMATE
"Mount Holyoke College",,,,ESTIMATE
"Franklin and Marshall College",,,,ESTIMATE
"Dickinson College",,,,ESTIMATE
"Rochester Institute of Technology",,,,ESTIMATE
"New Jersey Institute of Technology",,,,ESTIMATE
"Colorado School of Mines",,,,ESTIMATE
"Illinois Institute of Technology",,,,ESTIMATE
"Rose-Hulman Institute of Technology",,,,ESTIMATE
"San Diego State University",,,,ESTIMATE
"San Jose State University",,,,ESTIMATE
"California State University, Long Beach",,,,ESTIMATE
"California State University, Fullerton",,,,ESTIMATE
"California State University, Northridge",,,,ESTIMATE
"University of California, Merced",,,,ESTIMATE
"Chapman University",,,,ESTIMATE
"University of the Pacific",,,,ESTIMATE
"Gonzaga University",,,,ESTIMATE
"Seattle University",,,,ESTIMATE
"Oregon State University",,,,ESTIMATE
"Washington State University",,,,ESTIMATE
"Portland State University",,,,ESTIMATE
"Colorado State University",,,,ESTIMATE
"University of Nevada, Las Vegas",,,,ESTIMATE
"University of New Mexico",,,,ESTIMATE
"University of Hawaii at Manoa",,,,ESTIMATE
"Utah State University",,,,ESTIMATE
"Boise State University",,,,ESTIMATE
"University of Wyoming",,,,ESTIMATE
"Kansas State University",,,,ESTIMATE
"Oklahoma State University",,,,ESTIMATE
"University of Mississippi",,,,ESTIMATE
"Mississippi State University",,,,ESTIMATE
"University of Alabama at Birmingham",,,,ESTIMATE
"University of Memphis",,,,ESTIMATE
"University of Louisville",,,,ESTIMATE
"University of Cincinnati",,,,ESTIMATE
"Ohio University",,,,ESTIMATE
"Kent State University",,,,ESTIMATE
"Bowling Green State University",,,,ESTIMATE
"Wayne State University",,,,ESTIMATE
"Western Michigan University",,,,ESTIMATE
"Central Michigan University",,,,ESTIMATE
"University of Toledo",,,,ESTIMATE
"Ball State University",,,,ESTIMATE
"Illinois State University",,,,ESTIMATE
"Northern Illinois University",,,,ESTIMATE
"DePaul University",,,,ESTIMATE
"Loyola University Chicago",,,,ESTIMATE
"University of Wisconsin - Milwaukee",,,,ESTIMATE
"Creighton University",,,,ESTIMATE
"Saint Louis University",,,,ESTIMATE
"Missouri University of Science and Technology",,,,ESTIMATE
"University of Houston",,,,ESTIMATE
"Texas Tech University",,,,ESTIMATE
"University of North Texas",,,,ESTIMATE
"Trinity University",,,,ESTIMATE
"University of Central Florida",,,,ESTIMATE
"University of South Florida",,,,ESTIMATE
"Florida International University",,,,ESTIMATE
"Stetson University",,,,ESTIMATE
"Rollins College",,,,ESTIMATE
"Mercer University",,,,ESTIMATE
"Georgia State University",,,,ESTIMATE
"University of North Carolina at Charlotte",,,,ESTIMATE
"Furman University",,,,ESTIMATE
"Virginia Commonwealth University",,,,ESTIMATE
"George Mason University",,,,ESTIMATE
"James Madison University",,,,ESTIMATE
"West Virginia University",,,,ESTIMATE
"University of Maryland, Baltimore County",,,,ESTIMATE
"Towson University",,,,ESTIMATE
"Catholic University of America",,,,ESTIMATE
"Hampton University",,,,ESTIMATE
"North Carolina A&T State University",,,,ESTIMATE
"Xavier University of Louisiana",,,,ESTIMATE
"Tuskegee University",,,,ESTIMATE
"Duquesne University",,,,ESTIMATE
"Lafayette College",,,,ESTIMATE
"Gettysburg College",,,,ESTIMATE
"Ursinus College",,,,ESTIMATE
"Seton Hall University",,,,ESTIMATE
"Hofstra University",,,,ESTIMATE
"Yeshiva University",,,,ESTIMATE
"Pratt Institute",,,,ESTIMATE
"Ithaca College",,,,ESTIMATE
"Marist College",,,,ESTIMATE
"Clarkson University",,,,ESTIMATE
"Union College",,,,ESTIMATE
"Skidmore College",,,,ESTIMATE
"Bard College",,,,ESTIMATE
"Sarah Lawrence College",,,,ESTIMATE
"Providence College",,,,ESTIMATE
"University of Rhode Island",,,,ESTIMATE
"Fairfield University",,,,ESTIMATE
"University of Maine",,,,ESTIMATE
"College of the Holy Cross",,,,ESTIMATE
"Clark University",,,,ESTIMATE
"Babson College",,,,ESTIMATE
"Bentley University",,,,ESTIMATE
"Emerson College",,,,ESTIMATE
"Berklee College of Music",,,,ESTIMATE
"Wheaton College",,,,ESTIMATE
"DePauw University",,,,ESTIMATE
"Denison University",,,,ESTIMATE
"College of Wooster",,,,ESTIMATE
"Whitman College",,,,ESTIMATE
"Willamette University",,,,ESTIMATE
"Lewis & Clark College",,,,ESTIMATE
"Lawrence University",,,,ESTIMATE
"Beloit College",,,,ESTIMATE
"Rhodes College",,,,ESTIMATE
"Centre College",,,,ESTIMATE
"Wofford College",,,,ESTIMATE
"Savannah College of Art and Design",,,,ESTIMATE
"School of the Art Institute of Chicago",,,,ESTIMATE
"Embry-Riddle Aeronautical University",,,,ESTIMATE
"Michigan Technological University",,,,ESTIMATE
